Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Latvia,2012,Developed,73.8,163,0,10.21,1356.022164,9,3,59.8,0,91,5.91,91,0.1,13822.8559,234319,2.2,2.2,0.812,15.5
Latvia,2011,Developed,73.6,169,0,10.14,24.70841046,89,1,59.4,0,92,6.1,92,0.1,1372.68947,25979,2.2,2.3,0.81,15.8
Latvia,2010,Developed,72.8,18,0,9.8,1109.969508,91,0,58.9,0,92,6.55,92,0.1,11326.21947,297555,2.2,2.3,0.815,16
Latvia,2009,Developed,72.6,184,0,9.85,1137.6237,92,0,58.5,0,94,6.84,94,0.1,12219.37379,2141669,2.3,2.3,0.821,16.4
Latvia,2008,Developed,71.9,199,0,11.84,253.4022338,93,3,58.1,0,94,6.63,94,0.1,16348.53121,2177322,2.3,2.4,0.819,16.3
Latvia,2007,Developed,78,221,0,12.12,170.9884138,91,0,57.7,0,94,7.1,94,0.1,1444.1589,22325,2.4,2.4,0.814,16.2
Latvia,2006,Developed,75,229,0,10.4,1099.248837,94,7,57.4,0,96,6.8,96,0.1,9667.9757,2218357,2.4,2.5,0.807,16.2
Latvia,2005,Developed,76,216,0,9.92,86.9255399,99,2,57,0,99,6.37,99,0.1,7558.7426,2238799,2.5,2.5,0.791,15.9
Latvia,2004,Developed,71,26,0,8.81,80.0328375,98,0,56.6,0,99,6.51,99,0.1,6351.8125,2263122,2.5,2.6,0.776,15.5
Latvia,2003,Developed,78,29,0,8.24,478.0644911,98,0,56.3,0,98,6.15,98,0.1,5134.95694,2287955,2.6,2.6,0.761,15.2
Latvia,2002,Developed,73,219,0,7.44,376.4570185,98,0,56,0,98,6.29,97,0.1,4132.34927,231173,2.7,2.7,0.746,14.8
Latvia,2001,Developed,69.9,228,0,6.68,332.2751709,96,1,55.7,0,97,6.17,97,0.1,3572.8513,233717,2.8,2.8,0.728,14.2
Latvia,2000,Developed,71,218,0,7.13,291.0170765,95,0,55.4,0,96,6,96,0.1,3352.731296,236755,2.8,2.8,0.716,13.7
Lithuania,2014,Developed,73.4,169,0,15.19,2211.744178,94,11,61.9,0,93,6.55,93,0.1,16554.97139,2932367,2.6,2.7,0.841,16.5
Lithuania,2013,Developed,73,178,0,15.04,1968.816817,93,35,61.4,0,93,6.59,93,0.1,15712.82376,2957689,2.7,2.7,0.834,16.4
Lithuania,2012,Developed,73,176,0,15.14,1807.071336,93,0,6.9,0,93,6.67,93,0.1,14341.836,2987773,2.7,2.7,0.83,16.5
Lithuania,2011,Developed,72.8,18,0,12.66,1758.822757,95,7,6.5,0,92,6.86,92,0.1,14357.73679,328115,2.7,2.8,0.826,16.7
Lithuania,2010,Developed,72.4,188,0,12.9,1423.802386,94,2,6,0,95,7.9,95,0.1,11984.86857,397282,2.8,2.8,0.824,16.8
Lithuania,2009,Developed,72.2,192,0,12.4,1446.529217,95,0,59.7,0,98,7.53,98,0.1,11837.3913,3162916,2.8,2.9,0.825,16.6
Lithuania,2008,Developed,71.1,224,0,13.3,1888.149904,96,1,59.3,0,96,6.61,96,0.1,14961.56818,3198231,2.9,2.9,0.82,16.5
Lithuania,2007,Developed,72,24,0,13.4,1581.511914,96,0,59,0,95,6.22,95,0.1,12297.91535,3231294,2.9,3,0.812,16.4
Lithuania,2006,Developed,76,229,0,12.7,116.504961,95,1,58.7,0,94,6.2,94,0.1,924.642548,326999,3,3,0.807,16.4
Lithuania,2005,Developed,78,222,0,12.3,913.699529,95,1,58.4,0,93,5.83,94,0.1,7863.1629,3322528,3,3.1,0.798,16.2
Lithuania,2004,Developed,71.6,24,0,12.1,76.36187737,94,1,58.1,0,9,5.67,94,0.1,676.966998,337775,3.1,3.1,0.792,16.3
Lithuania,2003,Developed,71.6,22,0,11.29,80.99710054,95,1,57.8,0,91,6.46,94,0.1,555.535669,3415213,3.2,3.2,0.78,15.8
Lithuania,2002,Developed,71.4,22,0,11,561.9168642,94,103,57.5,0,97,6.4,95,0.1,4146.987928,344367,3.3,3.3,0.77,15.3
Lithuania,2001,Developed,71.2,21,0,10.2,42.87208671,95,7,57.2,0,97,6.26,95,0.1,353.147337,347818,3.3,3.3,0.757,14.7
Lithuania,2000,Developed,71.6,2,0,9.87,373.2605532,98,19,56.9,0,92,6.46,94,0.1,3297.35471,3499536,3.4,3.4,0.745,14
Luxembourg,2014,Developed,81.7,65,0,11.12,16255.16198,94,0,6.9,0,99,6.94,99,0.1,119172.7418,556319,1,0.9,0.892,13.9
Luxembourg,2013,Developed,81.4,68,0,11.02,15515.75234,94,0,6.5,0,99,7.1,99,0.1,113751.85,54336,0.9,0.9,0.892,13.9
Luxembourg,2012,Developed,81.1,7,0,11.34,2284.58215,94,2,6.1,0,99,7.18,99,0.1,16749.136,53946,0.9,0.9,0.892,13.9
Luxembourg,2011,Developed,88,72,0,11.5,17028.52798,95,6,59.6,0,96,7.34,99,0.1,115761.577,518347,0.9,0.9,0.894,13.9
Luxembourg,2010,Developed,86,73,0,11.36,2267.252192,94,0,59.2,0,96,7.68,99,0.1,14965.361,56953,0.9,0.9,0.884,13.7
Luxembourg,2009,Developed,83,76,0,11.42,2052.393076,95,0,58.8,0,96,8.11,99,0.1,13198.6693,497783,0.9,0.9,0.888,13.5
Luxembourg,2008,Developed,80,8,0,11.53,18961.3486,94,1,58.4,0,96,7.34,99,0.1,114293.8433,48865,0.9,0.9,0.887,13.5
Luxembourg,2007,Developed,79.7,82,0,11.75,267.051312,87,0,57.9,0,96,6.8,99,0.1,1618.4928,479993,0.9,0.9,0.877,13.5
Luxembourg,2006,Developed,79.4,85,0,11.98,15345.4907,95,8,57.5,0,99,7.75,99,0.1,89739.7117,472637,0.9,0.9,0.88,13.5
Luxembourg,2005,Developed,78.8,9,0,11.84,1346.246697,95,0,57,0,99,7.95,99,0.1,8289.69641,465158,1,0.9,0.874,13.5
Luxembourg,2004,Developed,78.7,92,0,12.42,12372.05188,94,0,56.4,0,99,8.2,99,0.1,75716.3518,45895,1,0.9,0.867,13.5
Luxembourg,2003,Developed,78.6,92,0,12.61,10111.38928,95,1,55.8,0,99,7.67,98,0.1,65445.8853,45163,1,0.9,0.865,13.6
Luxembourg,2002,Developed,78.3,95,0,12.91,910.5062778,95,0,55.2,0,99,8.27,99,0.1,5293.64115,446175,1,0.9,0.86,13.5
Luxembourg,2001,Developed,78,96,0,12.89,7877.33656,86,0,54.6,0,99,7.4,99,0.1,48179.4285,441525,1,1,0.854,13.4
Luxembourg,2000,Developed,77.8,98,0,13.14,8246.130437,77,0,54,0,99,7.48,99,0.1,48735.99549,4363,1,1,0.848,13.5
Malta,2014,Developed,81.4,55,0,8.49,409.6000248,9,0,69.2,0,99,9.75,99,0.1,2618.92599,427364,0.8,0.8,0.847,14.3
Malta,2013,Developed,81.1,57,0,8.58,374.2947283,94,0,68.8,0,99,9.89,99,0.1,2393.1888,423374,0.8,0.7,0.828,14.2
Malta,2012,Developed,81,58,0,7.67,343.123395,93,0,68.4,0,99,9.95,99,0.1,2193.8836,419455,0.8,0.7,0.821,14.1
Malta,2011,Developed,87,59,0,6.91,3601.287457,82,3,68,0,96,9.6,96,0.1,22821.847,416268,0.8,0.7,0.826,14.8
Malta,2010,Developed,83,62,0,7.91,278.0687051,75,0,67.6,0,76,8.3,76,0.1,2187.79469,41458,0.8,0.7,0.819,14.6
Malta,2009,Developed,82,63,0,7.38,335.5180568,86,1,67.1,0,73,8.33,73,0.1,2675.58259,412477,0.8,0.7,0.815,14.4
Malta,2008,Developed,80,64,0,7.14,2655.573684,86,1,66.6,0,72,8.15,72,0.1,21928.767,49379,0.7,0.7,0.813,14.6
Malta,2007,Developed,79.6,65,0,7.45,2578.888314,82,2,66.1,0,76,8.36,74,0.1,19375.5696,46724,0.7,0.7,0.808,14.4
Malta,2006,Developed,79.3,66,0,8.84,2380.699796,86,1,65.6,0,83,8.93,85,0.1,16671.5672,4538,0.7,0.7,0.809,14.8
Malta,2005,Developed,79,67,0,6.41,2247.035692,85,6,65,0,94,8.83,92,0.1,15835.34667,43834,0.7,0.7,0.805,14.8
Malta,2004,Developed,78.7,69,0,6.53,203.3157499,85,4,64.5,0,89,8.46,89,0.1,1519.5497,41268,0.7,0.7,0.797,14.2
Malta,2003,Developed,78.5,71,0,6.7,1678.392773,89,4,63.9,0,94,8.6,94,0.1,13689.98999,398582,0.7,0.7,0.79,13.8
Netherlands,2014,Developed,81.7,58,1,0.01,1491.703605,92,140,61.6,1,96,1.9,96,0.1,52157.4687,168658,1,0.9,0.923,18.1
Netherlands,2013,Developed,81.4,6,1,8.68,1475.030397,51,2632,61,1,97,11.4,97,0.1,51574.48942,1684432,1,0.9,0.922,18.1
Netherlands,2012,Developed,81.1,62,1,9.05,1162.656768,2,10,6.5,1,97,11.1,97,0.1,49474.7561,16754962,1,0.9,0.921,18.1
Netherlands,2011,Developed,81.1,63,1,8.96,1047.370244,2,51,59.9,1,97,1.53,97,0.1,5354.6536,1669374,1,0.9,0.911,17.2
Poland,2014,Developed,77.3,12,2,10.71,243.808475,96,0,61.1,2,94,6.35,98,0.1,14341.675,3811735,1.9,2.1,0.85,16.4
Poland,2013,Developed,77.1,12,2,11.63,23.43533487,96,84,6.4,2,95,6.4,99,0.1,1378.54911,384196,2,2.1,0.838,15.4
Poland,2012,Developed,76.8,125,2,10.81,230.040097,97,71,59.7,2,95,6.62,99,0.1,13145.1484,3863164,2,2.1,0.834,15.3
Poland,2011,Developed,76.7,128,2,10.93,250.0773782,98,0,59.1,2,96,6.7,99,0.1,13893.18768,3863255,2,2.2,0.829,15.4
Poland,2010,Developed,76.3,13,2,10.59,220.4916851,98,13,58.4,2,96,6.88,99,0.1,12599.52486,3842794,2.1,2.2,0.822,15.1
Poland,2009,Developed,75.7,136,2,10.7,1299.159757,98,115,57.8,3,96,7.12,99,0.1,11527.59323,3815163,2.1,2.3,0.818,15.1
Poland,2008,Developed,75.5,14,2,11.4,15.71474837,98,0,57.2,3,96,6.88,99,0.1,141.44688,38125759,2.2,2.3,0.813,15
Poland,2007,Developed,75.3,144,2,10.9,14.3042452,98,40,56.6,3,99,6.28,99,0.1,1126.31852,381256,2.2,2.4,0.808,15
Poland,2006,Developed,75.2,144,2,10.4,9.1455559,98,120,56,3,99,6.17,99,0.1,94.7726,38141267,2.3,2.4,0.803,15
Poland,2005,Developed,75,144,2,9.5,79.41502672,98,13,55.5,3,99,6.2,99,0.1,821.251569,38165445,2.3,2.5,0.797,14.8
Poland,2004,Developed,74.9,143,2,9.19,648.0743453,98,11,55,3,99,6.19,99,0.1,6681.178818,38182222,2.4,2.5,0.8,15.5
Poland,2003,Developed,74.7,142,3,9.06,542.0235,97,48,54.5,3,98,6.22,99,0.1,5693.52416,382457,2.4,2.6,0.796,15.3
Poland,2002,Developed,74.5,145,3,8.02,516.0554391,98,34,54,3,98,6.32,99,0.1,5196.932921,3823364,2.5,2.6,0.79,15
Poland,2001,Developed,74.2,149,3,7.74,466.7383106,95,133,53.6,3,98,5.86,98,0.1,4981.198619,3824876,2.5,2.7,0.784,14.7
Poland,2000,Developed,73.7,153,3,8.4,412.4323974,99,77,53.1,4,98,5.5,98,0.1,4492.72764,38258629,2.5,2.8,0.777,14.6
Portugal,2014,Developed,89,78,0,9.88,271.2545531,98,0,6.9,0,98,9.5,98,0.1,2277.53613,14162,0.7,0.5,0.837,16.8
Portugal,2013,Developed,86,79,0,10,2698.01817,98,1,6.2,0,98,9.55,98,0.1,21618.73534,1457295,0.7,0.5,0.827,16.3
Portugal,2012,Developed,83,81,0,11.96,331.457035,98,23,59.5,0,98,9.74,98,0.1,2577.4264,1514844,0.7,0.5,0.824,16.3
Portugal,2011,Developed,82,85,0,11.92,3108.288623,97,2,58.8,0,97,1.7,97,0.1,23196.18375,155756,0.7,0.5,0.818,16.2
Portugal,2010,Developed,79.6,88,0,12.25,3119.349824,97,5,58.1,0,97,1.44,98,0.1,22538.6548,15731,0.7,0.5,0.812,16
Portugal,2009,Developed,79.3,9,0,12.03,337.1023516,96,3,57.3,0,96,1.42,96,0.1,2363.97161,1568247,0.7,0.5,0.809,16
Portugal,2008,Developed,79,92,0,12.35,3652.869332,97,1,56.5,0,97,9.9,97,0.1,24815.6884,1558177,0.7,0.5,0.804,15.8
Portugal,2007,Developed,78.7,94,0,12.57,333.3569124,97,0,55.7,0,96,9.62,97,0.1,2278.5845,1542964,0.7,0.5,0.797,15.4
Portugal,2006,Developed,78.5,96,0,13.11,2884.020194,97,0,54.9,0,97,9.67,97,0.1,19821.44463,1522288,0.7,0.5,0.793,15.4
Portugal,2005,Developed,77.7,11,0,13.33,2813.985285,94,7,54.1,1,93,9.98,93,0.1,18784.9485,15333,0.7,0.6,0.79,15.4
Portugal,2004,Developed,78,99,0,13.45,276.0999798,94,5,53.3,1,95,9.84,95,0.1,1845.5881,1483861,0.7,0.6,0.792,15.9
Portugal,2003,Developed,77.3,15,0,14.21,2283.891796,94,8,52.5,1,96,9.54,99,0.1,15772.7334,1458821,0.7,0.6,0.789,15.8
Portugal,2002,Developed,77.2,17,1,12,1904.00231,82,8,51.7,1,96,9.15,98,0.1,12882.28897,1419631,0.8,0.6,0.788,15.9
Portugal,2001,Developed,76.9,11,1,12.22,1657.328352,7,0,5.9,1,96,9.1,97,0.1,11729.14616,1362722,0.8,0.6,0.782,15.7
Portugal,2000,Developed,76.6,11,1,11.89,167.3280168,58,45,5.1,1,96,9.14,96,0.1,1152.39681,1289898,0.8,0.6,0.777,15.5
Romania,2014,Developed,74.8,135,2,0.01,1.576409172,94,59,59.9,2,94,5.57,94,0.1,12.27733,1998979,2.6,2.8,0.797,14.7
Romania,2013,Developed,74.6,138,2,9.59,1230.748231,96,1159,59.2,2,88,5.6,92,0.1,9585.266593,19983693,2.7,2.9,0.794,14.7
Romania,2012,Developed,74.4,138,2,9.58,1078.358105,96,7450,58.4,2,92,5.48,91,0.1,8558.39766,25835,2.8,3,0.797,15.3
Romania,2011,Developed,74.3,139,2,9.1,10.32588862,96,4189,57.7,2,89,5.53,89,0.1,92.277825,2147528,2.9,3.1,0.798,15.7
Romania,2010,Developed,73.4,153,2,9,983.2518091,98,193,56.9,2,94,5.83,94,0.1,8297.483621,2246871,3,3.2,0.797,15.8
Romania,2009,Developed,73.1,158,2,10.4,14.96373588,95,8,56.3,3,95,5.56,95,0.1,822.18329,2367487,3,3.3,0.795,15.4
Romania,2008,Developed,73.1,159,2,11.9,128.0805702,97,12,55.6,3,95,5.33,96,0.1,1136.47356,2537875,3.1,3.5,0.78,14.7
Romania,2007,Developed,72.9,154,3,10.6,919.1673438,99,353,55,3,96,5.21,96,0.1,8214.185378,2882982,3.2,3.6,0.766,14.1
Romania,2006,Developed,72.5,157,3,8.51,665.6427546,99,3196,54.4,4,97,5.6,97,0.1,5828.745662,2119376,3.2,3.7,0.755,13.7
Romania,2005,Developed,71.9,162,3,7.68,615.4030781,98,5043,53.9,4,97,5.47,97,0.1,4676.315183,21319685,3.3,3.8,0.745,13.4
Romania,2004,Developed,71.7,165,4,9.82,431.3250367,99,117,53.4,4,97,5.43,97,0.1,3552.92452,21451748,3.4,3.9,0.733,12.9
Romania,2003,Developed,71.1,174,4,8.78,375.1740323,98,9,52.9,4,97,5.3,97,0.1,2774.95586,21574326,3.5,4,0.722,12.5
Romania,2002,Developed,77,178,4,9.62,37.82275031,99,14,52.4,5,98,4.57,98,0.1,2124.873613,2173496,3.7,4.1,0.714,12
Romania,2001,Developed,78,179,4,9.78,180.1095132,98,10,51.9,5,99,4.36,99,0.1,1839.72945,2213197,3.8,4.2,0.708,11.7
Romania,2000,Developed,77,175,4,10.16,152.6368899,98,35,51.4,5,99,4.33,99,0.1,1668.162731,22442971,4,4.3,0.703,11.5
Spain,2014,Developed,82.6,58,1,0.01,42.98847625,96,154,66,1,97,9.3,97,0.1,296.47225,4648882,0.6,0.5,0.877,17.6
Spain,2013,Developed,82.4,6,1,9.25,423.680459,95,131,65.4,2,96,9.1,96,0.1,2921.9342,466245,0.6,0.5,0.874,17.5
Spain,2012,Developed,82,61,1,9.35,4255.781693,96,1204,64.8,2,97,9.39,97,0.1,28562.29324,4677355,0.6,0.5,0.871,17.2
Spain,2011,Developed,82.1,63,1,9.62,4873.8188,97,3802,64.1,2,97,9.48,97,0.1,31834.21816,46742697,0.6,0.5,0.867,16.9
Spain,2010,Developed,81.9,64,1,9.78,578.7417172,97,302,63.5,2,97,9.56,97,0.1,3736.228,46576897,0.6,0.5,0.86,16.4
Spain,2009,Developed,81.6,66,2,9.99,5047.254058,96,41,62.9,2,96,9.52,96,0.1,32333.4661,46362946,0.6,0.5,0.858,16.3
Spain,2008,Developed,81.3,7,2,10.24,5596.535203,97,297,62.3,2,97,8.8,97,0.1,35578.73619,4595416,0.6,0.5,0.854,16.1
Spain,2007,Developed,89,72,2,11.05,510.9327012,96,267,61.7,2,96,8.36,96,0.1,3279.414,4522683,0.6,0.5,0.849,16
Spain,2006,Developed,88,73,2,11.86,4460.390006,97,362,61.1,2,98,8.23,98,0.1,28482.6948,44397319,0.6,0.5,0.844,15.9
Spain,2005,Developed,81,77,2,11.92,405.4475981,96,22,6.5,2,96,8.12,96,0.1,2651.71745,43653155,0.6,0.5,0.837,15.8
Spain,2004,Developed,81,79,2,11.96,3715.370095,97,26,59.9,2,97,8.5,97,0.1,24918.64584,42921895,0.6,0.5,0.833,15.6
Spain,2003,Developed,79.4,83,2,12.09,3205.019918,81,256,59.3,2,99,7.99,98,0.1,21495.7741,42187645,0.6,0.5,0.83,15.6
Spain,2002,Developed,79.5,83,2,12.26,228.3543024,82,67,58.8,2,98,7.25,98,0.1,1719.53541,41431558,0.6,0.5,0.828,15.7
Spain,2001,Developed,79.4,84,2,9.86,2044.169761,83,0,58.2,2,95,7.24,96,0.1,15323.6114,485412,0.6,0.5,0.825,15.7
Spain,2000,Developed,79.1,86,2,11.12,1934.398154,77,152,57.6,2,95,7.21,95,0.1,14676.769,4567864,0.6,0.5,0.82,15.7
Sweden,2014,Developed,82.3,54,0,7.3,1142.212403,67,26,59,0,98,11.93,98,0.1,5918.19898,969611,1.5,1.3,0.906,15.8
Sweden,2013,Developed,81.9,57,0,7.3,1212.666327,67,51,58.5,0,98,11.97,98,0.1,6283.24522,96379,1.4,1.3,0.904,15.8
Sweden,2012,Developed,81.7,57,0,7.4,10947.02327,53,30,58.1,0,98,11.8,98,0.1,57134.777,9519374,1.4,1.3,0.903,15.8
Sweden,2011,Developed,81.7,58,0,7.4,11477.6671,42,26,57.7,0,98,11.7,98,0.1,59593.28711,9449213,1.4,1.3,0.901,16
